city_id,iran_m,iran_d,leba_m,leba_d,other_m,other_d,warn,hit,total_hit,dur
1032,22,0,2,0,0,0,64,18,22,96531
1725,73,1,5,0,0,0,159,61,74,203731
848,93,3,6,0,0,0,158,80,96,201061
1929,4,0,0,0,0,0,73,4,4,88531
176,51,0,5,0,0,0,66,39,51,103136
978,17,0,3,0,0,0,135,13,17,169298
1835,93,0,5,0,0,0,159,79,93,201406
274,30,0,0,0,0,0,143,21,30,182167
750,105,1,7,0,0,0,159,87,106,205299
222,16,0,3,0,0,0,46,13,16,70369
1428,49,0,5,2,0,0,73,39,49,115646
1884,82,3,8,0,0,0,135,66,85,186222
989,18,0,2,0,0,0,64,13,18,100114
1213,45,0,3,0,0,0,67,36,45,104431
523,81,1,4,0,0,0,158,67,82,200571
1044,21,0,1,0,0,0,64,17,21,94930
2308,119,1,7,0,0,0,159,102,120,204687
304,23,0,2,0,0,0,112,15,23,151246
1650,18,1,19,24,0,0,69,15,19,137949
1588,30,0,27,27,0,0,69,19,30,163996
510,77,1,3,0,0,0,143,63,78,186529
822,113,4,11,0,0,0,135,96,117,191923
475,70,1,1,0,0,0,143,58,71,184529
987,24,0,1,0,0,0,135,16,24,172629
2207,69,1,3,0,0,0,143,62,70,183958
2243,132,3,9,0,0,0,159,114,135,207494
268,26,0,2,0,0,0,143,18,26,182403
1920,49,0,5,0,0,0,45,27,49,89282
538,79,1,3,0,0,0,143,65,80,186529
59,6,0,0,0,0,0,57,5,6,70699
2288,69,1,1,0,0,0,126,50,70,174269
504,73,1,4,0,0,0,143,64,74,185173
240,14,0,2,0,0,0,46,11,14,69253
926,34,1,2,0,0,0,135,27,35,173292
2220,30,0,5,1,0,0,136,25,30,179727
276,25,0,1,0,0,0,112,15,25,152121
360,46,1,0,0,0,0,126,37,47,166527
1091,24,0,0,0,0,0,73,20,24,101580
189,38,0,3,0,0,0,66,30,38,99178
1664,19,0,2,7,0,0,66,16,19,102046
938,30,1,2,0,0,0,135,25,31,172800
869,70,3,7,0,0,0,135,63,73,178390
1861,129,3,6,0,0,0,158,110,132,200948
1852,130,0,6,0,0,0,158,109,130,202681
2232,43,1,1,0,0,0,126,33,44,168806
1039,25,0,2,0,0,0,63,18,25,96531
1307,57,0,4,0,0,0,73,43,57,114554
934,31,1,2,0,0,0,135,25,32,173292
1826,125,3,5,0,0,0,158,103,128,201439
2254,123,3,8,0,0,0,159,104,126,209114
1823,77,1,1,0,0,0,159,62,78,200477
36,0,0,0,1,0,0,12,0,0,18125
2284,23,0,3,0,0,0,46,16,23,73825
1550,25,0,17,5,0,0,69,20,25,124602
1802,105,1,5,0,0,0,158,88,106,198177
417,49,1,3,0,0,0,143,43,50,183584
1812,114,1,7,0,0,0,158,97,115,201584
218,23,2,3,1,0,0,73,18,25,101780
263,12,0,2,0,0,0,46,7,12,67566
544,84,1,4,0,0,0,143,70,85,185994
49,4,0,0,0,0,0,73,4,4,88531
1477,37,0,19,8,0,0,73,30,37,129141
309,30,0,2,0,0,0,143,22,30,181877
206,21,0,3,0,0,0,66,18,21,94323
846,108,3,9,0,0,0,135,90,111,187074
1817,125,3,4,0,0,0,143,95,128,196174
860,94,3,8,0,0,0,135,81,97,184909
1047,26,0,0,0,0,0,63,20,26,94254
449,65,1,2,0,0,0,143,53,66,185243
353,41,1,2,0,0,0,143,35,42,180974
1160,28,0,1,0,0,0,73,23,28,104356
1205,48,0,1,0,0,0,73,37,48,107263
593,99,1,5,0,0,0,158,84,100,197125
1591,27,2,22,41,0,0,69,20,29,165140
323,37,1,2,0,0,0,143,30,38,182097
1804,65,1,0,1,0,0,136,48,66,182841
194,25,0,3,0,0,0,46,17,25,74964
2258,26,0,1,0,0,0,135,18,26,172629
480,66,1,4,0,0,0,143,56,67,186051
1633,19,0,10,20,0,0,69,14,19,134717
351,39,1,1,0,0,0,126,30,40,168221
844,108,3,9,0,0,0,135,91,111,186025
2278,25,0,2,0,0,0,126,10,25,169532
1527,29,0,18,5,0,0,73,23,29,126002
1153,29,0,0,0,0,0,73,24,29,101457
901,43,1,4,0,0,0,135,37,44,173190
2007,33,0,7,11,0,0,67,23,33,119052
584,76,2,3,0,0,0,159,60,78,205457
2266,39,0,5,0,0,0,73,29,39,107071
1627,18,0,6,10,0,0,69,13,18,118034
493,71,1,1,0,0,0,143,58,72,184529
1382,45,0,1,0,0,0,73,36,45,105305
1481,39,0,4,7,0,0,73,26,39,123891
799,45,0,5,2,0,0,136,36,45,181631
335,36,1,2,0,0,0,143,30,37,180974
1531,30,1,11,18,0,0,69,22,31,137882
1200,54,0,7,2,0,0,67,42,54,112481
975,19,0,1,0,0,0,135,15,19,167915
1169,51,0,1,0,0,0,67,38,51,105315
1474,33,0,5,4,0,0,73,26,33,113391
746,130,3,10,0,0,0,158,112,133,206328
589,102,1,6,0,0,0,158,86,103,197835
248,14,0,2,0,0,0,46,9,14,68488
1637,19,0,89,35,0,0,69,13,19,209964
1794,122,1,4,0,0,0,158,101,123,200200
1833,94,0,5,0,0,0,159,78,94,201440
506,78,1,3,0,0,0,143,68,79,183958
486,73,1,3,0,0,0,143,64,74,183958
1871,55,0,5,2,0,0,67,42,55,112068
1452,40,0,5,4,0,0,73,31,40,112927
1069,23,0,0,0,0,0,73,18,23,102540
2235,21,0,2,0,0,0,126,13,21,163863
287,26,0,2,0,0,0,143,19,26,179900
1503,38,0,15,5,0,0,73,30,38,123801
139,55,0,4,0,0,0,66,41,55,102968
98,56,0,6,0,0,0,73,45,56,109691
1216,47,0,5,0,0,0,73,35,47,111678
1577,26,0,8,11,0,0,73,20,26,130887
2214,49,0,5,2,0,0,136,37,49,184206
1370,50,0,1,0,0,0,73,42,50,106419
840,103,3,12,0,0,0,135,88,106,187917
368,39,1,3,0,0,0,143,34,40,182035
1027,18,0,0,0,0,0,54,12,18,86327
1571,30,2,12,31,0,0,69,22,32,149080
382,47,1,3,0,0,0,143,42,48,182035
1605,28,0,26,25,0,0,69,18,28,165942
261,21,0,1,0,0,0,126,11,21,167233
1081,28,0,2,0,0,0,64,23,28,95603
239,14,0,2,0,0,0,46,11,14,69253
1319,60,0,8,2,0,0,67,42,60,117443
1256,34,0,2,0,0,0,73,24,34,106862
16,1,0,0,0,0,0,12,1,1,17985
730,132,4,11,0,0,0,158,114,136,212047
499,47,1,1,0,0,0,64,19,48,123096
892,50,1,4,0,0,0,135,41,51,175457
1177,41,0,1,0,0,0,73,32,41,106110
1480,38,0,4,9,0,0,73,25,38,126227
2014,33,1,1,0,0,0,64,13,34,112927
1193,45,0,2,0,0,0,73,34,45,106835
457,69,1,4,0,0,0,143,60,70,186454
281,13,0,2,0,0,0,46,6,13,69847
792,122,3,8,0,0,0,158,104,125,204203
328,29,1,1,0,0,0,126,23,30,163679
789,73,1,7,0,0,0,135,58,74,183332
1955,93,0,5,0,0,0,159,78,93,201406
1336,52,0,15,3,0,0,67,40,52,121982
1286,53,0,1,0,0,0,73,42,53,107263
947,27,1,2,0,0,0,135,22,28,172800
1391,48,0,6,2,0,0,73,40,48,114563
88,35,0,4,0,0,0,73,32,35,97867
1502,33,0,11,3,0,0,73,26,33,120314
907,40,1,4,0,0,0,135,34,41,173190
102,21,0,0,0,0,0,46,13,21,69305
121,32,0,3,0,0,0,46,21,32,77158
1202,46,0,4,0,0,0,73,34,46,108779
1784,106,1,6,0,0,0,158,90,107,197763
2262,38,0,4,0,0,0,73,29,38,105722
1774,22,0,1,0,0,0,57,20,22,71310
236,20,0,2,0,0,0,66,13,20,95237
1338,53,0,14,2,0,0,67,40,53,120482
435,55,1,4,0,0,0,143,47,56,186051
1414,53,0,4,1,0,0,73,39,53,118236
941,27,1,2,0,0,0,135,23,28,171246
578,97,1,4,0,0,0,158,83,98,195375
163,42,0,3,0,0,0,66,30,42,101327
1845,118,0,6,0,0,0,159,100,118,204102
967,20,1,2,0,0,0,135,17,21,168570
1590,28,3,17,42,0,0,69,25,31,159687
1606,20,0,5,3,0,0,66,17,20,102640
355,44,1,0,0,0,0,143,37,45,179700
1593,27,1,21,60,0,0,69,19,28,184176
494,65,1,2,0,0,0,77,47,66,118622
1144,29,0,1,0,0,0,67,23,29,98648
1640,17,0,35,33,0,0,69,13,17,171385
880,65,3,8,0,0,0,135,58,68,180198
295,12,0,2,0,0,0,64,8,12,86569
484,72,1,4,0,0,0,143,63,73,185173
1553,25,0,2,4,0,0,66,22,25,107000
85,29,0,2,0,0,0,57,26,29,79075
2238,30,1,1,0,0,0,126,24,31,164378
1388,41,0,1,0,0,0,73,33,41,106419
423,57,1,1,0,0,0,143,48,58,183277
881,65,3,8,0,0,0,135,58,68,180198
1004,22,0,1,0,0,0,64,17,22,95931
1567,25,0,15,6,0,0,69,19,25,125025
1939,23,0,0,0,0,0,135,13,23,171488
562,88,1,4,0,0,0,158,75,89,197872
2245,27,3,14,36,0,0,69,23,30,153667
1790,117,1,5,0,0,0,158,97,118,199215
1783,112,1,6,0,0,0,158,93,113,198949
1399,50,0,6,3,0,0,73,41,50,113447
598,77,2,3,0,0,0,159,61,79,205457
1116,33,0,0,0,0,0,64,25,33,95059
813,116,3,10,0,0,0,135,98,119,186378
420,55,1,3,0,0,0,143,48,56,183584
995,19,0,1,0,0,0,54,12,19,90245
359,47,1,0,0,0,0,143,39,48,179700
489,75,1,3,0,0,0,143,64,76,186529
1271,52,0,10,2,0,0,67,40,52,115073
454,55,2,1,0,0,0,126,42,57,171337
1437,40,0,3,2,0,0,73,32,40,109888
231,21,0,2,0,0,0,66,16,21,93257
1238,24,0,1,0,0,0,73,19,24,104356
805,119,3,8,0,0,0,135,99,122,184942
1422,35,0,2,1,0,0,73,29,35,108777
1207,39,0,1,0,0,0,73,30,39,106110
1487,27,0,3,4,0,0,73,24,27,109859
797,98,3,9,0,0,0,159,81,101,209243
923,34,1,3,0,0,0,135,28,35,173227
1254,51,0,1,0,0,0,73,40,51,107263
800,121,3,8,0,0,0,135,99,124,185965
366,37,1,3,0,0,0,143,32,38,182035
1508,30,0,6,5,0,0,73,25,30,116999
2256,120,3,8,0,0,0,159,100,123,208182
1184,43,0,4,0,0,0,73,32,43,108779
1257,19,0,1,0,0,0,66,15,19,96512
817,117,3,9,0,0,0,135,99,120,185632
119,30,0,2,1,0,0,73,25,30,97577
114,50,0,3,0,0,0,66,38,50,97404
1445,35,0,2,2,0,0,73,29,35,108159
9,15,0,0,2,0,0,19,15,15,25075
397,60,1,2,0,0,0,143,52,61,183650
340,40,1,1,0,0,0,126,31,41,166130
1041,25,0,0,0,0,0,63,19,25,94254
1714,72,1,4,0,0,0,143,62,73,185994
472,69,1,4,0,0,0,143,61,70,185576
127,18,0,1,0,0,0,46,12,18,69303
1875,25,0,4,2,0,0,66,21,25,106654
960,21,1,2,0,0,0,135,18,22,168570
922,36,2,2,0,0,0,135,29,38,178356
717,131,3,9,0,0,0,158,112,134,205638
1858,61,0,0,1,0,0,136,47,61,176721
311,25,0,3,0,0,0,112,17,25,152532
2240,42,1,1,0,0,0,126,33,43,167884
134,22,0,1,0,0,0,46,15,22,71461
550,54,1,1,0,0,0,64,24,55,124208
1496,32,0,3,4,0,0,73,26,32,113573
386,52,1,3,0,0,0,143,47,53,182035
2264,37,0,4,0,0,0,73,27,37,105722
1277,51,0,1,0,0,0,73,40,51,107263
2286,92,1,6,0,0,0,159,79,93,203471
2277,28,2,4,0,0,0,73,21,30,104001
2260,25,0,0,0,0,0,135,15,25,172740
1129,26,0,1,0,0,0,67,23,26,96089
1223,23,0,1,0,0,0,73,19,23,104356
1063,19,0,1,0,0,0,64,15,19,94930
1829,123,1,5,0,0,0,158,104,124,199584
1557,30,0,21,10,0,0,69,23,30,138445
1653,20,1,17,25,0,0,69,16,21,140032
1092,24,0,0,0,0,0,73,20,24,101580
531,76,1,4,0,0,0,143,66,77,185994
1329,47,0,2,0,0,0,73,38,47,106371
754,127,4,12,0,0,0,158,109,131,212404
993,23,0,3,0,0,0,63,17,23,101629
44,0,0,1,1,0,0,12,0,0,18744
1049,19,0,0,0,0,0,54,15,19,83146
